Date,Ticker,Open,High,Low,Close,Volume
,,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD
2022-08-03,SHIB-USD,,,,,317439052
2022-08-04,SHIB-USD,,,,,301914202
2022-08-05,SHIB-USD,,,,,337423841
2022-08-06,SHIB-USD,,,,,278723005
2022-08-07,SHIB-USD,,,,,225119696
2022-08-08,SHIB-USD,,,,,553334119
2022-08-09,SHIB-USD,,,,,590838988
2022-08-10,SHIB-USD,,,,,418731355
2022-08-11,SHIB-USD,,,,,496656656
2022-08-12,SHIB-USD,,,,,331254898
2022-08-13,SHIB-USD,,,,,350167369
2022-08-14,SHIB-USD,,,,,3873103860
2022-08-15,SHIB-USD,,,,,2327359499
2022-08-16,SHIB-USD,,,,,1302891507
2022-08-17,SHIB-USD,,,,,1047374797
2022-08-18,SHIB-USD,,,,,557409408
2022-08-19,SHIB-USD,,,,,1128117927
2022-08-20,SHIB-USD,,,,,745673615
2022-08-21,SHIB-USD,,,,,432719644
2022-08-22,SHIB-USD,,,,,447215233
2022-08-23,SHIB-USD,,,,,401297299
2022-08-24,SHIB-USD,,,,,397540278
2022-08-25,SHIB-USD,,,,,959400151
2022-08-26,SHIB-USD,,,,,819192697
2022-08-27,SHIB-USD,,,,,437249950
2022-08-28,SHIB-USD,,,,,328030702
2022-08-29,SHIB-USD,,,,,393463237
2022-08-30,SHIB-USD,,,,,378833439
2022-08-31,SHIB-USD,,,,,290944041
2022-09-01,SHIB-USD,,,,,284561703
2022-09-02,SHIB-USD,,,,,295889011
2022-09-03,SHIB-USD,,,,,219322329
2022-09-04,SHIB-USD,,,,,553998915
2022-09-05,SHIB-USD,,,,,322249006
2022-09-06,SHIB-USD,,,,,502320543
2022-09-07,SHIB-USD,,,,,322581607
2022-09-08,SHIB-USD,,,,,323307668
2022-09-09,SHIB-USD,,,,,906904715
2022-09-10,SHIB-USD,,,,,650509216
2022-09-11,SHIB-USD,,,,,539982450
2022-09-12,SHIB-USD,,,,,502161292
2022-09-13,SHIB-USD,,,,,455179755
2022-09-14,SHIB-USD,,,,,323663527
2022-09-15,SHIB-USD,,,,,321682028
2022-09-16,SHIB-USD,,,,,240124971
2022-09-17,SHIB-USD,,,,,191744549
2022-09-18,SHIB-USD,,,,,277027590
2022-09-19,SHIB-USD,,,,,346595419
2022-09-20,SHIB-USD,,,,,233231568
2022-09-21,SHIB-USD,,,,,345248633
2022-09-22,SHIB-USD,,,,,216459758
2022-09-23,SHIB-USD,,,,,337933781
2022-09-24,SHIB-USD,,,,,713605265
2022-09-25,SHIB-USD,,,,,298521657
2022-09-26,SHIB-USD,,,,,265868938
2022-09-27,SHIB-USD,,,,,287760616
2022-09-28,SHIB-USD,,,,,262953706
2022-09-29,SHIB-USD,,,,,176633140
2022-09-30,SHIB-USD,,,,,269203863
2022-10-01,SHIB-USD,,,,,172808216
2022-10-02,SHIB-USD,,,,,176957004
2022-10-03,SHIB-USD,,,,,194093013
2022-10-04,SHIB-USD,,,,,295527520
2022-10-05,SHIB-USD,,,,,257284310
2022-10-06,SHIB-USD,,,,,218959432
2022-10-07,SHIB-USD,,,,,161253503
2022-10-08,SHIB-USD,,,,,91674947
2022-10-09,SHIB-USD,,,,,96163215
2022-10-10,SHIB-USD,,,,,192456230
2022-10-11,SHIB-USD,,,,,225078484
2022-10-12,SHIB-USD,,,,,128040822
2022-10-13,SHIB-USD,,,,,443708628
2022-10-14,SHIB-USD,,,,,231553889
2022-10-15,SHIB-USD,,,,,173389601
2022-10-16,SHIB-USD,,,,,121155378
2022-10-17,SHIB-USD,,,,,117289815
2022-10-18,SHIB-USD,,,,,175418876
2022-10-19,SHIB-USD,,,,,135343704
2022-10-20,SHIB-USD,,,,,151239550
2022-10-21,SHIB-USD,,,,,180099032
2022-10-22,SHIB-USD,,,,,96866356
2022-10-23,SHIB-USD,,,,,113876891
2022-10-24,SHIB-USD,,,,,118009700
